"datetime","open","high","low","close","Hp","Lp"
1630896120,51749,51764.91,51749,51764.91,52000.9023,51500.2695
1630896180,51764.91,51765.2,51738.22,51743.2,52000.9023,51500.2695
1630896240,51743.2,51753,51737.31,51748.94,52000.9023,51500.2695
1630896300,51748.95,51750,51720,51720,52000.9023,51500.2695
1630896360,51720.01,51730.8,51693,51700.2,52000.9023,51500.2695
1630896420,51700.21,51700.21,51690.8,51692.21,52000.9023,51500.2695
1630896480,51692.21,51710,51692.21,51700.65,52000.9023,51500.2695
1630896540,51700.66,51715.4,51700.66,51710,52000.9023,51500.2695
1630896600,51709.99,51710,51695,51700.53,52000.9023,51500.2695
1630896660,51700.54,51721.21,51692.2,51711,52000.9023,51500.2695
1630896720,51711,51721,51643.71,51661.72,52000.9023,51500.2695
1630896780,51661.73,51695.6,51660,51691.68,52000.9023,51500.2695
1630896840,51691.68,51694.96,51676.71,51679,52000.9023,51500.2695
1630896900,51678.99,51698.55,51675.01,51695.64,52000.9023,51500.2695
1630896960,51695.64,51698.4,51692.03,51693.72,52000.9023,51500.2695
1630897020,51693.71,51695,51684.7,51690.13,52000.9023,51500.2695
1630897080,51690.13,51699.01,51689,51697.05,52000.9023,51500.2695
1630897140,51697.05,51699,51690.74,51691.23,52000.9023,51500.2695
1630897200,51691.22,51695.35,51678,51690.41,51831.9727,51307.1719
1630897260,51690.41,51695,51680.51,51690.01,51831.9727,51307.1719
1630897320,51690.01,51717.11,51690,51711.99,51831.9727,51307.1719
1630897380,51711.99,51729.97,51701.5,51711.61,51831.9727,51307.1719
1630897440,51711.6,51726.85,51706.88,51724.28,51831.9727,51307.1719
1630897500,51724.28,51726.51,51701.49,51709.92,51831.9727,51307.1719
1630897560,51709.94,51724.16,51705,51721.07,51831.9727,51307.1719
1630897620,51721.08,51728.53,51716.99,51728.53,51831.9727,51307.1719
1630897680,51728.53,51751.13,51728.52,51751.13,51831.9727,51307.1719
1630897740,51751.12,51757.25,51730.51,51734.22,51831.9727,51307.1719
1630897800,51734.21,51749.83,51734.21,51746.08,51831.9727,51307.1719
1630897860,51746.08,51757.25,51744.01,51752.01,51831.9727,51307.1719
1630897920,51752.01,51755.45,51744.23,51750.92,51831.9727,51307.1719
1630897980,51750.92,51765.26,51750.4,51751.7,51831.9727,51307.1719
1630898040,51751.7,51761.66,51750.54,51755.98,51831.9727,51307.1719
1630898100,51755.98,51765.26,51755.9,51757.69,51831.9727,51307.1719
1630898160,51757.69,51760,51738.28,51738.28,51831.9727,51307.1719
1630898220,51738.29,51739.99,51725.39,51734.35,51831.9727,51307.1719
1630898280,51734.35,51734.35,51709.53,51710.65,51831.9727,51307.1719
1630898340,51710.64,51744.51,51705.49,51737.82,51831.9727,51307.1719
1630898400,51737.82,51748.51,51713.43,51718.44,51831.9727,51307.1719
1630898460,51718.44,51723.78,51711.39,51714.05,51831.9727,51307.1719
1630898520,51715.34,51716.62,51690.66,51697.36,51831.9727,51307.1719
1630898580,51697.37,51714,51690.61,51708.74,51831.9727,51307.1719
1630898640,51708.75,51722.61,51702,51702.01,51831.9727,51307.1719
1630898700,51702.01,51703.57,51691.03,51692.73,51831.9727,51307.1719
1630898760,51692.74,51700.24,51692.73,51697.31,51831.9727,51307.1719
1630898820,51697.32,51699.78,51665.4,51679.99,51831.9727,51307.1719
1630898880,51679.99,51680.09,51659.86,51669.8,51831.9727,51307.1719
1630898940,51668.05,51700,51654,51690.94,51831.9727,51307.1719
1630899000,51690.94,51720,51675.05,51712.47,51831.9727,51307.1719
1630899060,51712.46,51740,51695.63,51740,51831.9727,51307.1719
1630899120,51740,51752.41,51728.41,51734,51831.9727,51307.1719
1630899180,51734,51745.21,51708,51717.78,51831.9727,51307.1719
1630899240,51717.78,51717.79,51670.16,51680.33,51831.9727,51307.1719
1630899300,51680.34,51689.68,51656.06,51673.26,51831.9727,51307.1719
1630899360,51673.27,51673.27,51650,51650,51831.9727,51307.1719
1630899420,51650.01,51664.84,51641.33,51652,51831.9727,51307.1719
1630899480,51652.01,51655.13,51630,51652.59,51831.9727,51307.1719
1630899540,51652.59,51666.99,51637.31,51658.49,51831.9727,51307.1719
1630899600,51658.5,51676.76,51645.66,51653.19,51831.9727,51307.1719
1630899660,51653.19,51654.98,51571.16,51599.99,51831.9727,51307.1719
1630899720,51599.99,51600,51584.56,51592.11,51831.9727,51307.1719
1630899780,51592.12,51600,51580.01,51596.18,51831.9727,51307.1719
1630899840,51596.18,51633.6,51590,51599.18,51831.9727,51307.1719
1630899900,51599.17,51600,51590,51599,51831.9727,51307.1719
1630899960,51599.01,51629.12,51594.85,51622.02,51831.9727,51307.1719
1630900020,51622.03,51625,51593.76,51600.14,51831.9727,51307.1719
1630900080,51600.15,51610.9,51593.92,51599.77,51831.9727,51307.1719
1630900140,51599.76,51617.4,51598.53,51605.52,51831.9727,51307.1719
1630900200,51605.52,51605.52,51569.87,51569.99,51831.9727,51307.1719
1630900260,51569.99,51572.05,51555,51563.34,51831.9727,51307.1719
1630900320,51563.34,51568.57,51450,51499.99,51831.9727,51307.1719
1630900380,51500,51557.26,51498.96,51553,51831.9727,51307.1719
1630900440,51553.01,51589.19,51540.45,51588.37,51831.9727,51307.1719
1630900500,51588.37,51591.64,51575,51582.85,51831.9727,51307.1719
1630900560,51582.86,51582.86,51570,51579.99,51831.9727,51307.1719
1630900620,51579.99,51583.72,51573.3,51574.12,51831.9727,51307.1719
1630900680,51574.13,51621.78,51574.12,51620.58,51831.9727,51307.1719
1630900740,51620.57,51627.98,51618.28,51618.29,51831.9727,51307.1719
1630900800,51618.28,51618.3,51571,51596.28,51776.4414,51267.3125
1630900860,51596.28,51657.99,51587.4,51657.99,51776.4414,51267.3125
