,0,1,2,3,4,5,6,7,8,9,10
15,32230055,2022-08-31 11:27:48,WITHDRAWAL,0.00,-752.07,,,,,,
16,32218272,2022-08-31 09:36:41,SELL,0.02,AUDCAD,0.90178,0.90151,0.04,0.35,0.04 pips,
17,32217982,2022-08-31 09:36:42,SELL,0.02,AUDNZD,1.12158,1.12164,-0.01,-0.14,-0.01 pips,
18,32210373,2022-08-31 01:18:49,DEPOSIT,0.00,742.96,,,,,,
19,32208116,2022-08-30 22:30:18,SELL,0.03,NZDCAD,0.80477,0.80373,0.23,2.31,0.23 pips,1 ... 7 8 9 10 11 ... 18
0,32201752,2022-08-31 06:08:02,BUY,0.03,AUDNZD,1.11928,1.12040,0.19,1.86,0.19 pips,
1,32174530,2022-08-30 13:53:58,WITHDRAWAL,0.00,-750.00,,,,,,
2,32173845,2022-08-30 13:35:38,DEPOSIT,0.00,745.31,,,,,,
3,32159644,2022-08-30 19:40:57,SELL,0.03,AUDCAD,0.89946,0.89842,0.23,2.30,0.23 pips,
4,32131959,2022-08-29 17:38:38,SELL,0.03,AUDCAD,0.89966,0.89861,0.23,2.34,0.23 pips,
5,32091852,2022-08-29 15:22:31,BUY,0.03,AUDCAD,0.89459,0.89727,0.61,6.09,0.61 pips,
6,32077303,2022-08-27 09:25:24,WITHDRAWAL,0.00,-21.11,,,,,,
7,32072825,2022-08-29 15:22:31,BUY,0.03,AUDCAD,0.89881,0.89727,-0.37,-3.74,-0.37 pips,
8,32010123,2022-08-30 19:09:46,SELL,0.03,AUDNZD,1.12208,1.11943,0.47,4.74,0.47 pips,
9,31974327,2022-08-26 19:45:02,SELL,0.03,AUDCAD,0.90168,0.89926,0.55,5.46,0.55 pips,
10,31956828,2022-08-26 19:45:02,SELL,0.03,AUDCAD,0.89795,0.89926,-0.31,-3.13,-0.31 pips,
11,31955476,2022-08-30 19:09:46,SELL,0.03,AUDNZD,1.11827,1.11943,-0.23,-2.31,-0.23 pips,
12,31900140,2022-08-24 10:31:13,BUY,0.03,NZDCAD,0.80309,0.80413,0.23,2.33,0.23 pips,
13,31878485,2022-08-23 17:26:25,SELL,0.03,NZDCAD,0.80825,0.80721,0.23,2.33,0.23 pips,
14,31878161,2022-08-23 17:24:26,SELL,0.03,AUDCAD,0.89985,0.89879,0.24,2.37,0.24 pips,
15,31843039,2022-08-23 11:32:33,BUY,0.03,NZDCAD,0.80469,0.80574,0.24,2.35,0.24 pips,
16,31841267,2022-08-23 16:45:40,BUY,0.03,AUDCAD,0.89619,0.89726,0.24,2.39,0.24 pips,
17,31834374,2022-08-23 06:31:37,SELL,0.03,NZDCAD,0.80739,0.80635,0.23,2.32,0.23 pips,
18,31776127,2022-08-22 12:36:17,SELL,0.03,NZDCAD,0.80565,0.80459,0.24,2.38,0.24 pips,
19,31774871,2022-08-22 18:38:29,SELL,0.03,AUDCAD,0.89619,0.89515,0.23,2.31,0.23 pips,1 ... 8 9 10 11 12 ... 18
0,31746939,2022-08-19 15:25:37,WITHDRAWAL,0.00,-29.16,,,,,,
1,31716480,2022-08-19 04:29:10,SELL,0.03,AUDNZD,1.10730,1.10625,0.19,1.88,0.19 pips,
2,31665077,2022-08-18 11:44:37,BUY,0.03,AUDCAD,0.89346,0.89606,0.60,5.96,0.60 pips,
3,31617944,2022-08-18 14:53:28,BUY,0.03,NZDCAD,0.81130,0.81240,0.24,2.36,0.24 pips,
4,31608561,2022-08-18 11:44:37,BUY,0.03,AUDCAD,0.89741,0.89606,-0.36,-3.57,-0.36 pips,
5,31592007,2022-08-17 05:22:31,BUY,0.03,AUDNZD,1.10000,1.10105,0.19,1.93,0.19 pips,
6,31591922,2022-08-17 05:21:18,SELL,0.03,NZDCAD,0.81922,0.81818,0.24,2.35,0.24 pips,
7,31591201,2022-08-17 05:00:28,BUY,0.03,AUDCAD,0.89918,0.90031,0.26,2.56,0.26 pips,
8,31566156,2022-08-17 05:03:39,BUY,0.03,NZDCAD,0.81525,0.81765,0.55,5.49,0.55 pips,
9,31561750,2022-08-16 17:18:55,SELL,0.03,AUDNZD,1.10769,1.10664,0.19,1.91,0.19 pips,
10,31558220,2022-08-16 13:24:47,BUY,0.03,AUDCAD,0.90285,0.90389,0.23,2.33,0.23 pips,
11,31544946,2022-08-17 05:03:39,BUY,0.03,NZDCAD,0.81892,0.81765,-0.31,-3.08,-0.31 pips,
12,31541446,2022-08-16 09:32:25,SELL,0.03,AUDNZD,1.10573,1.10465,0.20,1.98,0.20 pips,
13,31536643,2022-08-16 04:01:39,BUY,0.03,AUDCAD,0.90452,0.90556,0.23,2.34,0.23 pips,
14,31468437,2022-08-15 10:30:45,BUY,0.03,AUDCAD,0.90645,0.90749,0.24,2.36,0.24 pips,
15,31467119,2022-08-15 15:01:09,BUY,0.03,NZDCAD,0.82127,0.82232,0.24,2.36,0.24 pips,
16,31454239,2022-08-12 23:24:43,WITHDRAWAL,0.00,-37.28,,,,,,
17,31413509,2022-08-12 10:48:16,SELL,0.03,NZDCAD,0.82315,0.82245,0.16,1.56,0.16 pips,
18,31411182,2022-08-12 10:48:15,BUY,0.03,AUDNZD,1.10336,1.10337,-0.01,-0.07,-0.01 pips,
19,31380250,2022-08-11 18:07:06,SELL,0.03,NZDCAD,0.82226,0.82120,0.24,2.42,0.24 pips,1 ... 9 10 11 12 13 ... 18
0,31372940,2022-08-12 03:46:10,SELL,0.03,AUDCAD,0.90672,0.90565,0.24,2.38,0.24 pips,
