num,time,side,lot,sym,o,c,pip,size,pips,
112492810,2022-07-23 10:10:31,DEPOSIT,0,1.32,1 ... 12 13 14 15 16 ... 107,,,,,
112492973,2022-07-23 10:30:20,DEPOSIT,0,9.1,,,,,,
112492946,2022-07-23 10:28:37,DEPOSIT,0,2.25,,,,,,
112492944,2022-07-23 10:28:36,DEPOSIT,0,4.55,,,,,,
112492933,2022-07-23 10:27:46,DEPOSIT,0,2.03,,,,,,
112492900,2022-07-23 10:25:22,DEPOSIT,0,15.66,,,,,,
112492883,2022-07-23 10:23:33,DEPOSIT,0,2.43,,,,,,
112492876,2022-07-23 10:21:04,DEPOSIT,0,4.55,,,,,,
112492854,2022-07-23 10:17:20,DEPOSIT,0,0.13,,,,,,
112492842,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492841,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492840,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492839,2022-07-23 10:15:30,DEPOSIT,0,6.83,,,,,,
112492838,2022-07-23 10:15:30,DEPOSIT,0,6.83,,,,,,
112492837,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492836,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492835,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492834,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492833,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492828,2022-07-23 10:13:42,DEPOSIT,0,1.08,,,,,,
112492810,2022-07-23 10:10:31,DEPOSIT,0,1.32,1 ... 12 13 14 15 16 ... 107,,,,,
112492249,2022-07-23 08:00:12,DEPOSIT,0,2.27,,,,,,
112492235,2022-07-23 07:52:21,DEPOSIT,0,0.23,,,,,,
112492233,2022-07-23 07:50:35,DEPOSIT,0,0.15,,,,,,
112492171,2022-07-23 06:29:40,DEPOSIT,0,3.63,,,,,,
112492159,2022-07-23 05:49:40,DEPOSIT,0,5.02,,,,,,
112492147,2022-07-23 05:44:51,DEPOSIT,0,4.09,,,,,,
112492103,2022-07-23 05:13:35,DEPOSIT,0,2.28,,,,,,
112492094,2022-07-23 05:07:55,DEPOSIT,0,5.22,,,,,,
112492078,2022-07-23 04:59:15,DEPOSIT,0,5.05,,,,,,
112492038,2022-07-23 04:15:50,DEPOSIT,0,0.68,,,,,,
112492023,2022-07-23 04:03:36,DEPOSIT,0,7.41,,,,,,
112435548,2022-07-22 04:22:27,DEPOSIT,0,0.81,,,,,,
112432340,2022-07-22 01:34:06,DEPOSIT,0,7.34,,,,,,
