num,time,side,lot,sym,o,c,pip,size,pips
105992904,2022-03-29 19:30:02,SELL,0.0089,AUDNZD,1.0876,1.08334,0.26,2.37,0.26 pips
105992592,2022-03-30 04:00:01,SELL,0.0036,AUDNZD,1.08764,1.08107,0.16,1.48,0.16 pips
105960003,2022-03-29 20:00:02,SELL,0.0036,AUDNZD,1.08729,1.08256,0.12,1.06,0.12 pips
105958204,2022-03-29 15:45:02,SELL,0.0089,AUDNZD,1.08684,1.08463,0.13,1.21,0.13 pips
105958055,2022-03-29 06:30:03,SELL,0.0036,AUDNZD,1.08684,1.08483,0.05,0.45,0.05 pips
105957308,2022-03-29 15:45:00,SELL,0.0089,AUDNZD,1.08642,1.08462,0.11,0.98,0.11 pips
105955285,2022-03-29 20:00:01,SELL,0.0036,AUDNZD,1.08606,1.08253,0.09,0.79,0.09 pips
105955064,2022-03-29 18:00:01,SELL,0.009,AUDNZD,1.0861,1.0843,0.11,1,0.11 pips
105876254,2022-03-29 15:45:02,SELL,0.0036,AUDNZD,1.08348,1.0846,-0.03,-0.25,-0.03 pips
105874911,2022-03-29 18:15:01,SELL,0.0036,AUDNZD,1.08254,1.08368,-0.03,-0.26,-0.03 pips
105874687,2022-03-29 15:45:01,SELL,0.0036,AUDNZD,1.08254,1.08463,-0.05,-0.47,-0.05 pips
105874502,2022-03-29 19:30:02,SELL,0.0036,AUDNZD,1.08255,1.08335,-0.02,-0.18,-0.02 pips
105870089,2022-03-29 18:00:02,SELL,0.0036,AUDNZD,1.08146,1.08425,-0.07,-0.63,-0.07 pips
105685370,2022-03-24 06:00:03,SELL,0.0036,AUDCAD,0.94289,0.94094,0.05,0.49,0.05 pips
105684036,2022-03-24 09:45:00,SELL,0.0036,AUDCAD,0.94261,0.9398,0.08,0.71,0.08 pips
105683955,2022-03-24 06:29:22,SELL,0.0036,AUDCAD,0.94261,0.93991,0.07,0.68,0.07 pips
105682774,2022-03-24 11:00:00,SELL,0.0036,AUDCAD,0.94214,0.93932,0.08,0.71,0.08 pips
105682637,2022-03-24 06:29:22,SELL,0.0036,AUDCAD,0.94219,0.93987,0.06,0.58,0.06 pips
105431946,2022-03-21 03:00:00,SELL,0.0036,AUDNZD,1.07392,1.07261,0.03,0.3,0.03 pips
105409958,2022-03-21 03:00:01,SELL,0.0036,AUDNZD,1.07359,1.07264,0.02,0.21,0.02 pips
105409837,2022-03-21 03:15:00,SELL,0.0036,AUDNZD,1.07361,1.07226,0.03,0.3,0.03 pips
105408700,2022-03-21 04:15:00,SELL,0.0036,AUDNZD,1.07338,1.07161,0.04,0.4,0.04 pips
105167731,2022-03-16 09:45:02,BUY,0.0223,AUDCAD,0.91744,0.92092,0.61,5.55,0.61 pips
105161488,2022-03-16 02:28:58,BUY,0.0036,AUDNZD,1.06284,1.06474,0.05,0.41,0.05 pips
105154659,2022-03-16 15:23:26,BUY,0.0223,AUDCAD,0.91823,0.92181,0.62,5.65,0.62 pips
105154513,2022-03-16 02:30:01,BUY,0.0036,AUDNZD,1.06309,1.06473,0.04,0.36,0.04 pips
105152976,2022-03-16 02:30:01,BUY,0.0036,AUDNZD,1.06318,1.06473,0.04,0.34,0.04 pips
105150384,2022-03-16 02:45:01,BUY,0.0036,AUDNZD,1.06331,1.06529,0.05,0.43,0.05 pips
105150240,2022-03-16 02:45:00,BUY,0.0036,AUDNZD,1.06331,1.06529,0.05,0.43,0.05 pips
105070486,2022-03-15 09:30:03,BUY,0.0094,NZDCAD,0.86455,0.86634,0.13,1.19,0.13 pips
105054061,2022-03-15 14:30:01,BUY,0.0038,NZDCAD,0.86543,0.86924,0.11,1.02,0.11 pips
105051296,2022-03-16 21:15:01,BUY,0.0036,AUDCAD,0.92266,0.92413,0.04,0.36,0.04 pips
105051108,2022-03-16 16:30:02,BUY,0.0036,AUDCAD,0.92261,0.92327,0.02,0.15,0.02 pips
105050974,2022-03-16 18:00:01,BUY,0.0036,AUDCAD,0.92256,0.92384,0.03,0.31,0.03 pips
105030543,2022-03-15 10:29:19,BUY,0.0089,AUDCAD,0.92318,0.92496,0.12,1.09,0.12 pips
105017940,2022-03-16 21:15:02,BUY,0.0036,AUDCAD,0.92404,0.92413,0,0,0.00 pips
105017843,2022-03-15 14:45:00,BUY,0.009,AUDCAD,0.92404,0.92537,0.09,0.82,0.09 pips
105017739,2022-03-15 15:59:13,BUY,0.009,AUDCAD,0.92403,0.92596,0.13,1.2,0.13 pips
105017586,2022-03-15 16:15:01,BUY,0.0036,AUDCAD,0.92397,0.92588,0.05,0.48,0.05 pips
104992947,2022-03-16 09:45:03,BUY,0.009,AUDCAD,0.92528,0.92092,-0.31,-2.86,-0.31 pips
